Date,CHHATTISGARH_Schedule,CHHATTISGARH_Drawal,CHHATTISGARH_Deviation,GUJARAT_Schedule,GUJARAT_Drawal,GUJARAT_Deviation,MADHYAPRADESH_Schedule,MADHYAPRADESH_Drawal,MADHYAPRADESH_Deviation,MAHARASHTRA_Schedule,MAHARASHTRA_Drawal,MAHARASHTRA_Deviation,GOA_Schedule,GOA_Drawal,GOA_Deviation,DD_Schedule,DD_Drawal,DD_Deviation,DNH_Schedule,DNH_Drawal,DNH_Deviation,AMNSIL_Schedule,AMNSIL_Drawal,AMNSIL_Deviation,BARC_Schedule,BARC_Drawal,BARC_Deviation,Block,Frequency_hz
01-May-21,1405.46,1448.94,43.48,5062.62,5284.94,222.32,5359.28,5169.81,-189.48,6581.79,6402.33,-179.46,384.74,404.67,19.93,166.80,172.47,5.67,603.85,606.37,2.52,49.24,-19.36,-68.60,8.88,3.99,-4.89,52.00,49.94
01-May-21,1393.84,1371.93,-21.90,5309.26,5380.48,71.22,5512.41,5263.83,-248.58,6662.47,6455.28,-207.19,389.01,404.18,15.16,159.21,168.74,9.53,603.86,600.41,-3.45,49.24,10.08,-39.16,8.88,3.99,-4.89,53.00,49.93
01-May-21,1383.09,1401.72,18.63,5307.78,5719.52,411.74,5508.72,5381.12,-127.60,6582.22,6526.39,-55.83,386.63,394.45,7.82,181.26,171.02,-10.24,623.10,603.37,-19.72,49.24,-24.48,-73.72,8.86,4.00,-4.87,54.00,50.00
01-May-21,1371.72,1385.28,13.56,5164.03,5858.48,694.46,5547.94,5410.30,-137.64,6585.67,6635.74,50.07,396.39,388.86,-7.53,171.62,172.89,1.27,608.64,604.87,-3.77,49.24,-25.60,-74.84,8.87,3.98,-4.88,55.00,49.99
01-May-21,1370.46,1391.74,21.28,5238.63,5906.17,667.54,5761.32,5457.14,-304.18,6539.96,6719.12,179.16,402.03,396.39,-5.64,175.39,174.23,-1.16,608.61,612.65,4.04,49.24,104.00,54.76,8.86,3.99,-4.87,56.00,50.03
01-May-21,1382.62,1419.62,37.00,5575.88,5962.56,386.68,5823.75,5563.87,-259.88,6731.82,6813.77,81.95,405.26,385.16,-20.11,176.44,174.64,-1.80,594.12,618.60,24.48,49.24,50.56,1.32,8.85,3.96,-4.89,57.00,50.08
01-May-21,1391.68,1479.13,87.45,5823.80,5973.25,149.44,5963.02,5647.80,-315.22,6672.99,7007.36,334.37,408.30,402.50,-5.80,176.40,180.53,4.14,613.36,621.22,7.85,49.24,-24.48,-73.72,8.85,3.95,-4.90,58.00,50.02
01-May-21,1419.10,1527.89,108.79,5954.51,5920.07,-34.44,6076.39,5731.70,-344.69,6660.19,6939.74,279.55,428.88,413.00,-15.88,176.37,183.22,6.85,613.30,624.64,11.34,49.24,-18.08,-67.32,8.84,3.93,-4.91,59.00,50.07
01-May-21,1477.60,1536.99,59.39,6157.47,5700.44,-457.03,5998.71,5841.48,-157.23,6665.68,6710.35,44.66,433.57,417.52,-16.05,192.23,183.15,-9.08,632.58,628.00,-4.58,49.24,4.32,-44.92,8.83,3.90,-4.94,60.00,50.00
01-May-21,1379.54,1538.07,158.53,6209.34,5788.54,-420.80,5903.36,5820.58,-82.78,6518.89,6596.24,77.36,428.26,422.09,-6.16,176.36,179.20,2.84,611.50,627.48,15.98,49.24,-49.12,-98.36,8.83,3.94,-4.89,61.00,50.06
